,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,ind,Group,Deck,Num,Side,Minor,Total_Expense,Expenditure
38,Earth,0,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,train,1,F,8,S,0,961.0,1
39,Earth,0,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,train,1,F,10,S,0,3355.0,1
40,Earth,1,55 Cancri e,30.0,0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,train,1,G,1,P,0,0.0,0
41,Earth,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,train,1,G,2,P,0,0.0,0
42,Europa,0,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,train,1,B,3,P,0,3575.0,1
43,Earth,1,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,train,1,G,3,P,0,0.0,0
44,Earth,1,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,train,2,G,3,P,1,0.0,0
45,Earth,1,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,train,3,G,3,P,0,0.0,0
46,Mars,0,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,train,1,F,10,P,0,1214.0,1
47,Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,train,2,F,10,P,0,0.0,0
48,Earth,0,55 Cancri e,35.0,0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,train,1,E,1,S,0,790.0,1
49,Earth,0,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,train,1,E,2,S,0,1618.0,1
50,Earth,0,TRAPPIST-1e,18.0,0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,train,1,G,6,S,0,4689.0,1
51,Earth,0,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,train,1,F,11,S,0,1939.0,1
52,Europa,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,train,1,A,1,S,1,0.0,0
53,Europa,1,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,train,2,A,1,S,0,0.0,0
54,Europa,0,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,train,3,A,1,S,0,4547.0,1
55,Earth,1,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,train,1,G,7,S,0,0.0,0
56,Earth,0,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,train,1,F,12,S,0,2667.0,1
57,Earth,0,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,train,1,F,13,S,0,634.0,1
58,Mars,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,train,1,F,14,S,0,0.0,0
59,Earth,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,train,2,E,3,S,0,0.0,0
60,Earth,0,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,train,1,G,6,P,0,811.0,1
61,Earth,1,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,train,1,G,10,S,1,0.0,0
62,Earth,0,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,train,2,G,10,S,0,705.0,1
63,Earth,0,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,train,3,F,15,S,0,2007.0,1
64,Mars,0,TRAPPIST-1e,18.0,0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,train,1,E,4,S,0,1048.0,1
65,Earth,0,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,Alasmon Meteet,train,1,F,16,S,0,902.0,1
66,Earth,0,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,train,1,F,13,P,0,922.0,1
67,Earth,0,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,train,1,F,14,P,0,2233.0,1
68,Earth,0,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,train,1,F,17,S,0,1064.0,1
69,Mars,0,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,Gorn Make,train,1,D,3,P,0,879.0,1
70,Europa,0,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,train,1,C,3,S,0,8904.0,1
71,Mars,0,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,train,1,F,18,S,0,1165.0,1
72,Mars,0,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,train,1,F,15,P,0,1309.0,1
73,Europa,0,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,train,1,C,4,S,0,15815.0,1
74,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,train,1,G,13,S,0,0.0,0
75,Mars,0,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,train,1,F,16,P,0,7406.0,1
76,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,train,2,F,16,P,1,0.0,0
77,Mars,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,train,3,F,16,P,1,0.0,0
78,Earth,0,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,train,1,G,14,S,0,705.0,1
79,Europa,1,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,train,1,C,5,S,0,0.0,0
80,Earth,0,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,train,1,F,17,P,0,1362.0,1
81,Mars,1,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,train,1,E,5,S,0,0.0,0
82,Earth,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,train,1,G,15,S,0,0.0,0
83,Earth,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,train,1,G,16,S,0,0.0,0
84,Earth,0,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,train,2,F,20,S,0,917.0,1
85,Earth,0,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,train,1,G,9,P,0,705.0,1
86,Earth,1,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,train,2,G,9,P,1,0.0,0
87,Earth,1,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,train,3,G,9,P,1,0.0,0
88,Europa,0,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,train,1,A,2,S,0,1848.0,1
89,Earth,0,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,train,1,G,11,P,0,893.0,1
90,Earth,0,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,train,2,G,11,P,0,3855.0,1
91,Earth,0,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,train,1,F,19,P,0,1301.0,1
92,Earth,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,train,2,G,12,P,1,0.0,0
93,Mars,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,Book Trad,train,1,F,0,S,0,0.0,0
94,Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,train,1,F,23,S,0,921.0,1
95,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,train,1,F,24,S,0,17.0,1
96,Earth,1,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,train,2,G,18,S,1,0.0,0
97,Earth,1,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,train,3,G,18,S,1,0.0,0
98,Earth,0,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,train,1,F,21,P,0,703.0,1
99,Mars,0,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,train,1,D,2,S,0,1765.0,1
100,Earth,1,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,train,1,G,19,S,0,0.0,0
101,Earth,0,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,Alasmon Meteet,train,2,G,19,S,0,888.0,1
102,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,train,3,G,19,S,1,0.0,0
103,Europa,0,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,train,1,F,0,S,0,5109.0,1
104,Europa,0,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,train,2,B,5,P,0,2018.0,1
105,Europa,0,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,train,3,B,5,P,0,15940.0,1
106,Europa,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,train,4,B,5,P,0,0.0,0
107,Europa,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,train,1,E,6,S,0,0.0,0
108,Europa,0,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,train,1,B,1,S,0,2654.0,1
109,Earth,0,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,train,1,F,23,P,0,804.0,1
110,Earth,0,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,train,1,G,20,S,0,907.0,1
111,Mars,0,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,train,1,F,24,P,0,0.0,0
112,Europa,0,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,train,1,D,4,P,0,2640.0,1
113,Earth,0,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,train,1,A,0,P,0,9307.0,1
114,Europa,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,train,2,A,0,P,0,0.0,0
115,Mars,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Bees Sacre,train,1,F,25,P,0,0.0,0
116,Earth,0,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,train,1,G,21,S,0,773.0,1
117,Earth,0,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,train,1,F,27,P,0,702.0,1
118,Mars,1,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,Milly Mish,train,1,F,27,S,0,0.0,0
119,Mars,0,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,train,1,E,7,S,0,1022.0,1
120,Mars,0,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,train,1,D,3,S,0,3014.0,1
121,Mars,0,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,train,2,E,8,S,0,2109.0,1
122,Earth,1,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,Race Fowles,train,1,G,22,S,0,0.0,0
123,Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,train,1,F,29,S,0,0.0,0
124,Mars,0,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,train,2,D,5,S,0,2738.0,1
125,Earth,0,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,train,1,G,17,P,0,744.0,1
126,Earth,0,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,Alasmon Meteet,train,1,G,23,S,0,721.0,1
127,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,train,1,G,18,P,0,0.0,0
128,Earth,0,TRAPPIST-1e,34.0,0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,train,2,E,5,P,0,793.0,1
129,Europa,1,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,Charda Myling,train,1,C,6,S,0,0.0,0
130,Earth,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,train,1,G,19,P,0,0.0,0
131,Earth,0,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,train,2,F,29,P,0,902.0,1
132,Mars,0,TRAPPIST-1e,31.0,0,0.0,0.0,97.0,0.0,0.0,Pyrohs Harte,train,1,F,30,P,0,97.0,1
133,Earth,0,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,train,1,F,31,S,0,630.0,1
134,Earth,0,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,train,1,G,25,S,0,0.0,0
135,Earth,1,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,train,1,G,26,S,0,0.0,0
136,Mars,0,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,train,1,F,31,P,0,1158.0,1
137,Earth,1,55 Cancri e,18.0,0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,train,1,G,27,S,0,0.0,0
138,Earth,1,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,train,1,G,20,P,0,0.0,0
139,Earth,0,TRAPPIST-1e,41.0,0,0.0,0.0,0.0,0.0,607.0,Andan Estron,train,1,F,32,P,0,607.0,1
140,Earth,0,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,train,1,G,22,P,0,4180.0,1
141,Europa,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,train,1,B,8,P,0,0.0,0
142,Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,train,2,B,8,P,0,0.0,0
143,Earth,0,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,0.0,135.0,Fany Hutchinton,train,1,G,28,S,0,1873.0,1
144,Earth,1,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,train,2,G,28,S,0,0.0,0
145,Mars,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,Graven Anche,train,1,F,37,P,0,0.0,0
146,Mars,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,train,1,F,35,S,0,0.0,0
147,Mars,0,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,train,2,F,35,S,0,1572.0,1
148,Earth,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,train,1,G,23,P,0,0.0,0
149,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,train,1,E,10,S,0,788.0,1
150,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,train,1,G,30,S,0,0.0,0
151,Earth,1,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,train,1,G,24,P,0,0.0,0
152,Earth,0,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,train,1,E,11,S,0,990.0,1
153,Earth,0,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,train,1,F,38,P,0,593.0,1
154,Europa,0,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,train,1,B,2,S,0,27428.0,1
155,Mars,0,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,train,1,D,6,S,0,3722.0,1
156,Earth,0,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,train,1,G,26,P,0,906.0,1
157,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,train,2,G,26,P,1,0.0,0
158,Earth,0,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,train,3,G,26,P,1,0.0,0
159,Earth,0,TRAPPIST-1e,20.0,0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,train,1,G,27,P,0,394.0,1
160,Europa,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,train,1,C,3,P,0,0.0,0
161,Earth,0,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,train,1,F,36,S,0,821.0,1
162,Earth,0,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,train,1,G,28,P,0,1018.0,1
163,Earth,1,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,Branda Romez,train,1,G,31,S,0,0.0,0
164,Earth,0,55 Cancri e,49.0,0,84.0,3.0,401.0,202.0,98.0,Helly Booters,train,1,E,8,P,0,788.0,1
165,Earth,1,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,train,1,G,32,S,0,0.0,0
166,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,train,1,G,29,P,1,0.0,0
167,Earth,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,train,2,G,29,P,1,0.0,0
168,Earth,0,TRAPPIST-1e,39.0,0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,train,3,G,29,P,0,908.0,1
169,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Sps Raf,train,1,F,41,P,1,0.0,0
170,Mars,0,TRAPPIST-1e,23.0,0,0.0,0.0,8.0,1072.0,0.0,Frook Raf,train,2,F,41,P,0,1080.0,1
171,Mars,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Goles Raf,train,3,F,41,P,1,0.0,0
172,Mars,0,TRAPPIST-1e,39.0,0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,train,1,F,42,P,0,1273.0,1
173,Mars,0,PSO J318.5-22,25.0,0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,train,1,D,5,P,0,1778.0,1
174,Europa,0,TRAPPIST-1e,36.0,0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,train,1,C,5,P,0,2342.0,1
175,Earth,0,PSO J318.5-22,52.0,0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,train,1,G,30,P,0,0.0,0
176,Earth,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,train,1,G,33,S,0,0.0,0
177,Earth,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,train,1,G,31,P,0,0.0,0
178,Europa,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,train,1,B,3,S,0,0.0,0
179,Europa,1,TRAPPIST-1e,47.0,0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,train,2,B,3,S,0,0.0,0
180,Europa,1,55 Cancri e,45.0,0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,train,1,B,9,P,0,0.0,0
181,Europa,0,55 Cancri e,18.0,0,0.0,2433.0,0.0,878.0,443.0,Vegas Embleng,train,2,A,2,P,0,3754.0,1
182,Europa,1,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,train,1,C,8,S,0,0.0,0
183,Earth,0,TRAPPIST-1e,29.0,0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,train,1,G,34,S,0,773.0,1
184,Europa,0,55 Cancri e,18.0,0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,train,1,C,9,S,0,2981.0,1
185,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,train,1,G,32,P,0,0.0,0
186,Earth,1,55 Cancri e,24.0,0,0.0,0.0,0.0,0.0,0.0,Arraid Inicont,train,1,D,6,P,0,0.0,0
187,Mars,0,TRAPPIST-1e,29.0,0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,train,1,F,44,P,0,1040.0,1
188,Mars,1,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,train,2,F,44,P,0,0.0,0
189,Mars,0,TRAPPIST-1e,17.0,0,848.0,0.0,307.0,182.0,0.0,Picers Date,train,3,F,44,P,0,1337.0,1
